datetime_ist,open,high,low,close
2026-03-04 09:15:00+0530,24388.8,24477.0,24334.8,24385.1
2026-03-04 09:20:00+0530,24387.9,24392.0,24339.5,24341.2
2026-03-04 09:25:00+0530,24340.5,24374.5,24315.5,24342.8
2026-03-04 09:30:00+0530,24344.8,24366.5,24326.0,24332.3
2026-03-04 09:35:00+0530,24335.0,24362.0,24317.2,24346.8
2026-03-04 09:40:00+0530,24348.6,24412.0,24345.2,24408.8
2026-03-04 09:45:00+0530,24411.0,24416.2,24353.8,24365.2
2026-03-04 09:50:00+0530,24365.8,24372.0,24349.8,24359.1
2026-03-04 09:55:00+0530,24359.2,24360.3,24323.6,24325.9
2026-03-04 10:00:00+0530,24325.8,24346.1,24305.4,24332.8
2026-03-04 10:05:00+0530,24335.0,24371.8,24329.7,24368.0
2026-03-04 10:10:00+0530,24368.8,24414.8,24351.0,24413.7
2026-03-04 10:15:00+0530,24413.7,24417.5,24384.3,24387.0
2026-03-04 10:20:00+0530,24387.8,24425.0,24382.6,24399.3
2026-03-04 10:25:00+0530,24399.6,24437.3,24394.7,24419.0
2026-03-04 10:30:00+0530,24420.0,24420.7,24394.2,24398.8
2026-03-04 10:35:00+0530,24399.0,24409.3,24382.0,24390.1
2026-03-04 10:40:00+0530,24391.5,24392.3,24380.0,24390.8
2026-03-04 10:45:00+0530,24391.7,24422.4,24390.5,24400.3
2026-03-04 10:50:00+0530,24401.7,24402.0,24382.8,24398.0
2026-03-04 10:55:00+0530,24398.8,24399.8,24375.7,24391.5
2026-03-04 11:00:00+0530,24392.5,24427.8,24388.6,24420.7
2026-03-04 11:05:00+0530,24421.2,24453.4,24413.2,24450.9
2026-03-04 11:10:00+0530,24451.7,24461.4,24433.8,24435.5
2026-03-04 11:15:00+0530,24436.2,24438.9,24409.0,24412.0
2026-03-04 11:20:00+0530,24412.2,24422.9,24390.3,24393.3
2026-03-04 11:25:00+0530,24393.5,24397.5,24363.0,24365.5
2026-03-04 11:30:00+0530,24367.0,24378.5,24354.2,24364.7
2026-03-04 11:35:00+0530,24365.8,24383.3,24362.6,24367.2
2026-03-04 11:40:00+0530,24367.0,24382.3,24360.8,24362.2
2026-03-04 11:45:00+0530,24364.0,24372.5,24354.3,24367.8
2026-03-04 11:50:00+0530,24369.0,24401.0,24367.0,24369.4
2026-03-04 11:55:00+0530,24370.2,24380.4,24367.8,24374.5
2026-03-04 12:00:00+0530,24376.8,24391.5,24376.3,24389.1
2026-03-04 12:05:00+0530,24389.8,24395.7,24378.2,24393.4
2026-03-04 12:10:00+0530,24394.8,24402.3,24378.5,24379.8
2026-03-04 12:15:00+0530,24381.2,24383.8,24366.5,24369.0
2026-03-04 12:20:00+0530,24371.3,24385.6,24369.5,24375.8
2026-03-04 12:25:00+0530,24376.7,24385.0,24362.2,24368.3
2026-03-04 12:30:00+0530,24369.0,24381.6,24369.0,24375.0
2026-03-04 12:35:00+0530,24375.5,24387.5,24371.0,24378.0
2026-03-04 12:40:00+0530,24378.5,24383.3,24357.8,24382.5
2026-03-04 12:45:00+0530,24383.3,24396.2,24380.0,24385.8
2026-03-04 12:50:00+0530,24386.5,24397.9,24384.2,24394.2
2026-03-04 12:55:00+0530,24394.8,24428.1,24393.5,24416.8
2026-03-04 13:00:00+0530,24418.0,24432.0,24414.8,24422.2
2026-03-04 13:05:00+0530,24423.2,24438.3,24414.5,24438.2
2026-03-04 13:10:00+0530,24439.0,24461.0,24433.0,24461.0
2026-03-04 13:15:00+0530,24461.5,24465.8,24436.3,24441.5
2026-03-04 13:20:00+0530,24442.2,24460.2,24432.3,24459.5
2026-03-04 13:25:00+0530,24459.5,24477.5,24449.8,24451.6
2026-03-04 13:30:00+0530,24451.2,24466.3,24435.1,24435.7
2026-03-04 13:35:00+0530,24436.0,24448.1,24418.2,24447.0
2026-03-04 13:40:00+0530,24448.0,24462.7,24440.2,24462.6
2026-03-04 13:45:00+0530,24463.5,24469.8,24438.7,24442.0
2026-03-04 13:50:00+0530,24442.6,24445.3,24426.9,24428.5
2026-03-04 13:55:00+0530,24428.7,24438.4,24415.8,24437.0
2026-03-04 14:00:00+0530,24437.9,24453.9,24437.5,24451.1
2026-03-04 14:05:00+0530,24451.2,24496.6,24440.2,24494.6
2026-03-04 14:10:00+0530,24495.5,24557.0,24483.3,24555.0
2026-03-04 14:15:00+0530,24555.3,24574.7,24541.3,24567.8
2026-03-04 14:20:00+0530,24568.3,24568.8,24534.0,24535.0
2026-03-04 14:25:00+0530,24536.5,24541.3,24513.8,24522.5
2026-03-04 14:30:00+0530,24523.1,24553.5,24502.6,24534.2
2026-03-04 14:35:00+0530,24534.8,24543.5,24520.6,24537.8
2026-03-04 14:40:00+0530,24540.3,24584.2,24539.2,24578.8
2026-03-04 14:45:00+0530,24579.1,24600.2,24548.0,24581.2
2026-03-04 14:50:00+0530,24584.8,24594.0,24570.7,24585.5
2026-03-04 14:55:00+0530,24586.3,24602.5,24571.8,24583.0
2026-03-04 15:00:00+0530,24583.0,24584.5,24506.2,24509.0
2026-03-04 15:05:00+0530,24508.7,24518.5,24471.0,24472.2
2026-03-04 15:10:00+0530,24471.2,24474.5,24457.5,24466.0
2026-03-04 15:15:00+0530,24464.8,24473.5,24451.0,24456.9
2026-03-04 15:20:00+0530,24457.1,24473.0,24453.7,24470.5
2026-03-04 15:25:00+0530,24468.4,24482.2,24457.9,24474.0
