time,open,high,low,close
09:15,23462.5,23487.9,23419.1,23450.2
09:20,23448.5,23452.0,23417.0,23431.6
09:25,23431.2,23475.5,23415.2,23469.7
09:30,23469.8,23492.4,23452.6,23453.9
09:35,23455.0,23474.5,23433.6,23454.8
09:40,23456.2,23462.0,23425.0,23425.2
09:45,23426.5,23426.8,23388.5,23397.4
09:50,23399.7,23399.7,23362.7,23363.1
09:55,23364.5,23372.5,23344.2,23347.5
10:00,23349.1,23370.0,23333.0,23361.1
10:05,23361.8,23361.8,23326.1,23337.0
10:10,23337.3,23344.1,23311.8,23329.8
10:15,23331.0,23340.7,23317.3,23317.5
10:20,23318.1,23334.8,23305.8,23311.8
10:25,23313.7,23357.1,23309.0,23353.5
10:30,23354.5,23360.0,23325.7,23326.8
10:35,23326.8,23338.0,23320.3,23337.2
10:40,23338.1,23342.0,23313.0,23324.5
10:45,23325.2,23333.4,23309.3,23330.4
10:50,23330.7,23379.5,23330.1,23359.2
10:55,23362.1,23372.7,23348.9,23372.7
11:00,23373.8,23374.7,23355.2,23358.2
11:05,23357.2,23361.7,23331.5,23334.2
11:10,23333.3,23339.5,23317.5,23321.7
11:15,23323.5,23329.2,23309.7,23324.8
11:20,23324.1,23342.8,23319.6,23336.0
11:25,23337.0,23379.2,23333.2,23377.3
11:30,23378.8,23400.3,23365.3,23391.3
11:35,23392.2,23410.2,23380.5,23405.2
11:40,23407.3,23414.9,23395.2,23407.9
11:45,23409.3,23410.6,23390.4,23403.5
11:50,23405.5,23409.4,23388.7,23389.2
11:55,23389.7,23389.7,23360.5,23361.2
12:00,23363.1,23365.5,23335.8,23344.2
12:05,23344.3,23347.5,23322.3,23331.6
12:10,23333.9,23342.5,23317.5,23336.2
12:15,23338.9,23338.9,23318.1,23318.1
12:20,23319.1,23319.1,23269.0,23269.5
12:25,23273.3,23291.2,23266.1,23278.7
12:30,23280.0,23281.5,23227.8,23239.2
12:35,23241.0,23241.8,23210.5,23216.3
12:40,23219.2,23219.4,23193.5,23212.4
12:45,23214.0,23245.5,23210.2,23240.9
12:50,23241.7,23250.2,23213.5,23229.6
12:55,23230.5,23242.8,23213.3,23231.1
13:00,23232.5,23239.5,23217.8,23221.2
13:05,23223.8,23227.5,23191.7,23197.2
13:10,23198.5,23210.2,23173.5,23175.7
13:15,23178.3,23192.8,23168.0,23171.6
13:20,23171.8,23187.7,23136.5,23141.2
13:25,23142.8,23191.3,23139.2,23189.3
13:30,23191.3,23202.7,23166.4,23168.0
13:35,23169.2,23171.1,23142.7,23145.7
13:40,23147.2,23165.2,23131.2,23157.2
13:45,23159.1,23168.4,23148.8,23160.2
13:50,23162.3,23166.9,23119.6,23138.2
13:55,23141.5,23150.3,23112.0,23119.0
14:00,23121.7,23161.5,23120.2,23143.2
14:05,23145.2,23178.5,23142.2,23170.2
14:10,23172.8,23205.5,23167.2,23201.8
14:15,23203.7,23220.0,23182.8,23219.2
14:20,23221.5,23233.5,23201.8,23210.2
14:25,23210.8,23225.1,23199.8,23202.5
14:30,23204.6,23258.6,23203.6,23235.5
14:35,23242.1,23249.0,23208.3,23208.7
14:40,23211.8,23231.5,23205.7,23224.8
14:45,23228.7,23231.2,23177.5,23191.0
14:50,23193.7,23212.5,23166.6,23167.3
14:55,23172.7,23182.1,23144.5,23177.9
15:00,23181.0,23190.5,23135.8,23138.0
15:05,23137.5,23148.0,23125.1,23132.8
15:10,23136.9,23167.0,23127.8,23162.5
15:15,23161.5,23165.2,23145.7,23153.2
15:20,23153.1,23154.1,23138.5,23148.2
15:25,23147.3,23173.8,23147.0,23170.9
