time,open,high,low,close
09:15,23674.8,23690.8,23556.3,23563.2
09:20,23564.5,23601.4,23557.8,23601.4
09:25,23601.7,23612.8,23586.8,23603.3
09:30,23600.5,23619.6,23589.5,23592.7
09:35,23594.0,23610.1,23571.8,23572.8
09:40,23574.5,23606.9,23569.4,23602.7
09:45,23606.2,23624.5,23595.0,23623.2
09:50,23623.5,23657.0,23618.5,23656.8
09:55,23657.0,23696.6,23643.8,23693.8
10:00,23695.4,23696.8,23670.6,23677.8
10:05,23679.8,23679.8,23620.2,23628.2
10:10,23632.5,23651.4,23605.3,23610.2
10:15,23610.5,23615.9,23589.9,23612.7
10:20,23614.8,23629.0,23608.5,23616.5
10:25,23617.2,23681.5,23617.2,23666.7
10:30,23666.3,23690.1,23632.3,23685.5
10:35,23686.2,23720.0,23673.5,23713.0
10:40,23714.3,23721.0,23684.7,23692.7
10:45,23693.4,23704.8,23690.6,23694.0
10:50,23694.6,23713.7,23669.3,23694.5
10:55,23695.2,23742.2,23681.7,23740.9
11:00,23741.6,23768.8,23741.2,23767.2
11:05,23768.5,23774.0,23734.0,23738.4
11:10,23739.5,23764.4,23737.2,23741.0
11:15,23741.8,23756.7,23678.2,23696.9
11:20,23700.7,23703.9,23665.0,23703.5
11:25,23703.8,23713.5,23690.5,23703.3
11:30,23704.2,23704.2,23676.6,23697.9
11:35,23698.3,23701.2,23682.7,23697.2
11:40,23699.4,23718.2,23689.8,23711.3
11:45,23712.5,23725.0,23688.1,23694.3
11:50,23695.7,23718.8,23692.5,23713.0
11:55,23713.9,23742.2,23708.2,23739.8
12:00,23739.5,23748.1,23735.3,23744.2
12:05,23744.4,23748.5,23718.1,23725.7
12:10,23727.8,23750.7,23710.5,23749.3
12:15,23751.2,23751.2,23721.8,23724.3
12:20,23725.7,23756.0,23724.0,23749.2
12:25,23750.8,23759.2,23735.2,23744.1
12:30,23744.4,23747.6,23717.5,23721.9
12:35,23721.8,23731.7,23702.4,23709.8
12:40,23710.7,23722.3,23702.3,23715.8
12:45,23716.7,23731.2,23714.1,23722.1
12:50,23722.8,23728.9,23701.5,23708.3
12:55,23710.7,23723.8,23700.8,23717.0
13:00,23717.8,23718.7,23691.4,23702.8
13:05,23702.5,23702.6,23656.4,23682.5
13:10,23683.5,23722.4,23678.8,23715.2
13:15,23718.3,23718.5,23697.2,23702.2
13:20,23703.0,23744.1,23695.8,23740.3
13:25,23741.7,23768.0,23732.7,23764.3
13:30,23765.2,23815.8,23764.7,23804.3
13:35,23805.2,23819.1,23796.6,23811.8
13:40,23813.6,23833.2,23784.2,23789.9
13:45,23789.3,23801.2,23776.2,23782.5
13:50,23783.6,23793.1,23762.5,23771.5
13:55,23771.8,23772.0,23738.6,23738.6
14:00,23740.5,23762.5,23733.5,23752.8
14:05,23752.8,23771.5,23720.0,23721.5
14:10,23721.7,23747.7,23702.0,23738.9
14:15,23739.3,23758.2,23723.3,23749.3
14:20,23749.5,23755.8,23730.3,23733.0
14:25,23734.2,23744.3,23709.7,23711.8
14:30,23713.5,23740.0,23710.4,23738.3
14:35,23739.3,23745.2,23721.4,23725.0
14:40,23726.2,23726.2,23667.6,23673.8
14:45,23673.2,23684.1,23657.2,23672.5
14:50,23674.2,23674.7,23605.5,23633.0
14:55,23634.5,23648.0,23620.0,23639.5
15:00,23641.1,23655.8,23610.0,23654.9
15:05,23655.7,23669.0,23637.9,23666.8
15:10,23665.3,23679.8,23628.8,23633.9
15:15,23636.3,23652.0,23624.8,23649.5
15:20,23650.7,23652.2,23630.5,23635.6
15:25,23635.5,23643.1,23624.6,23639.3
