time,open,high,low,close
09:00,23620.6,23705.0,23542.65,23652.6
09:05,23652.9,23685.75,23647.75,23674.85
09:10,23674.85,23674.85,23674.85,23674.85
09:15,23686.6,23686.6,23557.85,23563.15
09:20,23564.5,23601.4,23557.85,23601.4
09:25,23601.65,23612.75,23586.85,23603.35
09:30,23600.45,23619.6,23589.55,23592.65
09:35,23593.95,23610.1,23571.85,23572.85
09:40,23574.5,23606.9,23569.4,23602.65
09:45,23606.2,23624.55,23595.05,23623.15
09:50,23623.5,23657.0,23618.45,23656.75
09:55,23657.0,23696.3,23643.75,23693.8
10:00,23695.4,23696.35,23670.6,23677.85
10:05,23679.85,23679.85,23620.15,23628.2
10:10,23632.45,23651.4,23605.35,23610.15
10:15,23610.5,23615.9,23589.9,23612.65
10:20,23614.75,23628.95,23608.5,23616.45
10:25,23617.2,23681.55,23617.15,23666.65
10:30,23666.35,23690.1,23632.35,23685.45
10:35,23686.15,23719.45,23673.45,23712.95
10:40,23714.35,23719.8,23684.65,23692.7
10:45,23693.4,23704.85,23690.6,23694.0
10:50,23694.6,23713.65,23669.3,23694.5
10:55,23695.25,23741.6,23681.7,23740.9
11:00,23741.6,23768.1,23741.15,23767.2
11:05,23768.55,23773.65,23733.95,23738.4
11:10,23739.45,23764.4,23737.2,23741.05
11:15,23741.75,23756.65,23678.15,23696.9
11:20,23700.7,23703.9,23665.0,23703.5
11:25,23703.85,23713.45,23690.5,23703.3
11:30,23704.2,23704.2,23676.6,23697.9
11:35,23698.35,23701.25,23682.65,23697.25
11:40,23699.4,23718.25,23689.8,23711.35
11:45,23712.45,23725.0,23688.1,23694.3
11:50,23695.7,23718.85,23692.5,23712.95
11:55,23713.9,23742.2,23708.15,23739.85
12:00,23739.45,23748.1,23735.3,23744.2
12:05,23744.4,23748.45,23718.1,23725.65
12:10,23727.8,23750.65,23710.5,23749.35
12:15,23751.15,23751.15,23721.8,23724.3
12:20,23725.7,23755.95,23724.0,23749.2
12:25,23750.85,23759.2,23735.2,23744.1
12:30,23744.4,23747.6,23717.5,23721.9
12:35,23721.75,23731.7,23702.4,23709.75
12:40,23710.65,23722.35,23702.3,23715.8
12:45,23716.7,23731.25,23714.1,23722.1
12:50,23722.85,23728.9,23701.5,23708.35
12:55,23710.7,23723.8,23700.8,23717.0
13:00,23717.85,23718.7,23691.4,23702.75
13:05,23702.45,23702.6,23656.4,23682.55
13:10,23683.55,23722.4,23678.75,23715.25
13:15,23718.3,23718.5,23697.25,23702.25
13:20,23702.95,23744.1,23695.8,23740.35
13:25,23741.7,23767.95,23732.7,23764.3
13:30,23765.25,23814.75,23764.7,23804.3
13:35,23805.25,23818.45,23796.6,23811.8
13:40,23813.6,23832.65,23784.25,23789.9
13:45,23789.35,23801.25,23776.25,23782.55
13:50,23783.6,23793.1,23762.5,23771.45
13:55,23771.85,23772.0,23738.6,23738.6
14:00,23740.55,23762.45,23733.5,23752.85
14:05,23752.85,23771.55,23720.05,23721.5
14:10,23721.7,23747.65,23701.95,23738.9
14:15,23739.35,23758.15,23723.3,23749.35
14:20,23749.5,23755.8,23730.35,23732.95
14:25,23734.15,23744.3,23709.65,23711.8
14:30,23713.5,23739.95,23710.4,23738.3
14:35,23739.3,23745.15,23721.4,23724.95
14:40,23726.15,23726.15,23667.6,23673.8
14:45,23673.15,23684.1,23657.2,23672.55
14:50,23674.25,23674.7,23605.55,23633.05
14:55,23634.5,23647.95,23619.95,23639.45
15:00,23641.1,23655.8,23609.95,23654.9
15:05,23655.65,23669.05,23637.9,23666.8
15:10,23665.35,23679.8,23628.8,23633.9
15:15,23636.35,23652.0,23624.75,23649.55
15:20,23650.65,23652.15,23630.55,23635.6
15:25,23635.55,23643.1,23624.6,23639.35
